"filename", "language", "Angelscript", "comment", "blank", "total"
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\AngelPlayerCharacter.as", "Angelscript", 67, 1, 15, 83
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\AngelPlayerController.as", "Angelscript", 180, 7, 46, 233
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\AngelTrainingDummy.as", "Angelscript", 16, 2, 4, 22
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Abilities\AngelAbility.as", "Angelscript", 29, 4, 11, 44
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Abilities\SnakeBite.as", "Angelscript", 11, 0, 1, 12
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Agents\AngelAgent.as", "Angelscript", 296, 28, 84, 408
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Agents\Viper.as", "Angelscript", 3, 0, 1, 4
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\AngelGASAttributes.as", "Angelscript", 107, 0, 22, 129
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Effects\AngelEffect.as", "Angelscript", 3, 0, 1, 4
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Character\GAS\Effects\StandardEffects.as", "Angelscript", 148, 6, 36, 190
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Framework\AngelGameInstance.as", "Angelscript", 13, 0, 4, 17
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Framework\AngelGameState.as", "Angelscript", 296, 2, 63, 361
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Framework\AngelPlayerState.as", "Angelscript", 150, 41, 38, 229
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Misc\Enums.as", "Angelscript", 81, 17, 11, 109
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Misc\Structs.as", "Angelscript", 95, 6, 11, 112
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Utility\AngelCheatManager.as", "Angelscript", 92, 4, 15, 111
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Angel\Utility\WeaponRegistrySubsystem.as", "Angelscript", 72, 3, 16, 91
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Components\GunComponent.as", "Angelscript", 39, 1, 11, 51
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Components\HolsterComponent.as", "Angelscript", 249, 24, 53, 326
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Components\ReloadComponent.as", "Angelscript", 34, 5, 14, 53
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\EditInlineNew Objects\DamageFalloff.as", "Angelscript", 64, 7, 11, 82
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\EditInlineNew Objects\ReloadStrategy.as", "Angelscript", 102, 2, 19, 123
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Guns\GunBase.as", "Angelscript", 533, 78, 166, 777
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Guns\GunDropped.as", "Angelscript", 64, 0, 19, 83
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\AbilityWidget.as", "Angelscript", 75, 3, 14, 92
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\CountdownWidget.as", "Angelscript", 20, 0, 4, 24
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\KillfeedEntry.as", "Angelscript", 18, 0, 6, 24
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\KillfeedWidget.as", "Angelscript", 27, 0, 5, 32
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\ShopItemWidget.as", "Angelscript", 290, 11, 64, 365
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\ShopUserWidget.as", "Angelscript", 85, 0, 23, 108
"c:\Users\Spicy\Documents\GitHub\Repositories\Unreal Engine\UE5\Angel\Script\Widgets\ShopWidget.as", "Angelscript", 57, 0, 7, 64
"Total", "-", 3316, 252, 795, 4363
